"Created at:","Jan 5, 2025"
5307940,Brier,Washington,1,1,0,0,2014,1190,796,28,2345,192614,5,0,14,0,2,71,7,1,5,12,32,51
5308570,Buckley,Washington,1,1,0,0,2211,1435,674,102,656,148714,0,4,1,0,2,89,4,0,4,26,42,29
5308850,Burien,Washington,2,1,0,0,2352,1384,485,483,15483,131696,7,1,14,0,4,51,11,12,10,19,36,35
5308920,Burlington,Washington,2,1,1,0,1802,975,759,68,2607,94073,2,1,4,2,6,66,6,15,6,35,38,22
5309480,Camas,Washington,1,1,0,0,1820,1069,731,20,8902,164083,2,1,11,0,2,73,10,1,3,14,27,56
5310495,Cashmere,Washington,1,1,0,0,872,747,50,75,401,99137,0,1,0,0,1,75,9,14,10,22,43,25
5310565,"Castle Rock",Washington,2,2,0,0,1760,1486,168,106,93,96866,0,1,0,2,2,87,7,1,7,30,45,17
5311160,Centralia,Washington,2,2,0,0,1766,1407,290,69,2814,81679,1,1,1,0,5,77,12,2,7,22,50,22
5311475,Chehalis,Washington,2,2,0,0,1706,1382,266,58,1428,81749,3,0,2,0,4,77,9,5,7,26,43,24
5311615,Chelan,Washington,1,1,0,0,832,748,64,20,307,114795,0,1,3,0,1,72,12,12,23,19,23,36
5311825,Cheney,Washington,2,2,0,0,1769,1446,216,107,1748,85845,3,1,2,0,3,77,11,3,2,16,45,36
5312140,Chewelah,Washington,3,2,1,0,2117,1437,472,208,245,83512,0,1,0,2,2,82,5,7,8,34,32,25
5312630,Clarkston,Washington,2,1,1,0,1859,1126,674,59,2263,76563,1,1,4,0,3,82,8,1,4,29,46,21
5312945,"Cle Elum",Washington,3,2,1,1,2683,1735,517,431,699,85683,0,1,1,0,2,81,4,12,16,35,34,15
5313365,"Clyde Hill",Washington,1,1,0,0,3546,1888,1403,255,751,340093,0,0,31,0,1,59,9,0,0,2,19,79
5313785,Colfax,Washington,2,1,1,0,2106,1217,611,278,37,97001,1,0,1,0,2,87,7,2,4,21,41,34
5313855,"College Place",Washington,2,1,0,0,1751,1292,435,24,2271,98184,0,0,2,0,7,75,7,9,5,7,43,45
5314170,Colville,Washington,2,2,1,0,1877,1182,492,203,1006,76708,1,1,0,1,2,83,12,0,5,35,31,29
5314485,Connell,Washington,2,2,0,0,2085,1763,287,35,38,90039,5,0,2,0,16,41,12,24,24,35,30,11
5315290,Covington,Washington,2,1,1,0,2505,1519,840,146,5824,161485,5,0,13,1,3,64,11,2,4,23,38,35
5316970,Dayton,Washington,3,2,0,1,2626,1789,177,660,15,96233,1,0,0,0,0,81,13,4,7,19,42,31
5317320,"Deer Park",Washington,2,2,1,0,2152,1404,584,164,792,86987,0,1,0,2,0,87,9,1,4,28,52,16
5317635,"Des Moines",Washington,2,1,0,0,1960,1312,461,187,10434,120154,9,0,12,3,3,50,10,12,8,20,35,37
5318965,DuPont,Washington,1,1,0,0,1724,1124,585,15,3030,139667,8,1,11,1,4,61,11,3,1,6,38,55
5319035,Duvall,Washington,1,1,0,0,2823,1705,1051,67,365,219211,0,1,8,0,2,76,9,4,1,7,33,59
5320155,"East Wenatchee",Washington,1,1,0,0,907,836,51,20,4026,103321,1,0,1,0,3,60,9,25,15,30,37,19
5320260,Eatonville,Washington,2,1,0,0,2470,1787,385,298,20,134392,1,2,1,0,4,79,12,1,7,31,33,30
5320645,Edgewood,Washington,2,1,0,0,2153,1537,489,127,4031,142934,2,1,6,3,2,76,8,2,1,17,45,37
5320750,Edmonds,Washington,1,1,0,0,1680,1012,578,90,16595,153639,2,1,10,1,2,75,7,2,1,13,30,56
5321240,Ellensburg,Washington,2,2,0,0,1842,1460,317,65,3465,81221,1,0,2,1,3,77,10,6,4,17,44,36
5321450,Elma,Washington,2,2,0,0,2272,1639,275,358,193,100966,0,0,0,0,2,75,18,5,3,36,42,19
5322045,Enumclaw,Washington,1,1,0,0,2038,1374,562,102,2471,156217,0,1,3,1,4,80,9,2,2,29,27,42
5322080,Ephrata,Washington,2,2,0,0,1315,1209,69,37,1067,80518,1,0,1,0,9,61,8,20,11,25,49,15
5322640,Everett,Washington,1,1,0,0,1552,1105,375,72,36248,115265,6,1,10,1,5,59,11,7,7,21,40,33
5322745,Everson,Washington,2,1,1,0,2538,1303,1088,147,82,110048,0,4,3,0,2,74,7,10,10,29,37,24
5323515,"Federal Way",Washington,1,1,0,0,1812,1282,473,57,30593,122565,15,1,15,2,4,40,13,10,7,23,37,33
5323620,Ferndale,Washington,2,1,1,0,1955,988,926,41,1983,113214,0,1,6,0,5,75,7,5,4,24,41,32
5323795,Fife,Washington,1,1,0,0,1523,1104,371,48,4263,117786,9,2,16,7,5,45,13,4,6,20,45,29
5323970,Fircrest,Washington,1,1,0,0,1945,1105,703,137,2556,142441,4,2,5,0,3,72,11,2,3,21,31,45
5324810,Forks,Washington,3,2,0,0,2202,1777,110,315,247,80949,1,3,3,0,8,62,20,3,13,36,34,16
5325615,"Friday Harbor",Washington,2,2,0,0,2720,1960,553,207,192,121026,2,0,1,1,5,80,7,5,6,19,31,44
5326735,"Gig Harbor",Washington,1,1,0,0,2061,1383,568,110,3051,163932,1,1,3,0,1,84,9,0,2,8,33,56
5327435,Goldendale,Washington,3,2,1,0,2112,1516,420,176,16,76554,2,3,1,0,0,90,4,0,7,28,46,19
5327925,Grandview,Washington,3,2,0,0,1993,1640,315,38,1948,76722,0,0,0,0,45,13,22,18,32,35,26,6
5327960,Granger,Washington,3,2,0,0,2047,1668,245,134,97,80864,0,0,0,0,38,14,32,16,32,38,23,6
5327995,"Granite Falls",Washington,2,1,1,0,2081,1293,698,90,411,122944,0,3,3,0,0,83,10,1,6,27,39,28
5332300,Hoquiam,Washington,3,2,1,0,2250,1614,404,232,923,76226,1,4,2,0,4,81,7,1,3,33,42,23
5333805,Issaquah,Washington,1,1,0,0,1963,1202,724,37,9512,225649,2,0,23,0,2,60,9,3,2,5,22,71
5334645,Kalama,Washington,1,1,0,0,1673,1317,225,131,435,132571,0,1,0,0,1,83,11,3,5,24,48,22
5335065,Kelso,Washington,2,2,0,0,1578,1387,116,75,3414,74792,1,4,1,0,6,78,8,1,7,31,49,12
5335170,Kenmore,Washington,1,1,0,0,2067,1310,662,95,8207,189521,2,0,15,0,2,67,11,2,1,9,27,62
5335275,Kennewick,Washington,2,1,0,0,1593,1339,240,14,23444,101258,2,1,2,0,11,60,10,13,10,22,39,29
5335415,Kent,Washington,2,1,0,0,1957,1335,583,39,36191,125636,12,1,23,3,3,39,11,9,9,21,38,32
5335940,Kirkland,Washington,1,1,0,0,1996,1254,713,29,32174,216602,1,1,18,0,2,67,8,3,2,8,22,68
5336710,"La Center",Washington,1,1,0,0,2031,1451,435,145,209,145886,1,0,5,0,1,87,5,1,5,26,39,30
5336745,Lacey,Washington,2,1,0,0,1820,1287,498,35,15794,107432,5,1,7,2,6,63,13,2,3,18,44,35
5337270,"Lake Forest Park",Washington,1,1,0,0,2221,1220,644,357,5609,178311,4,1,10,1,1,75,7,3,1,7,25,67
5337900,"Lake Stevens",Washington,1,1,0,0,2053,1338,664,51,8444,138440,3,1,7,0,5,72,10,3,5,19,40,36
5338038,Lakewood,Washington,2,1,0,0,1681,1205,426,50,23221,100124,14,1,9,3,6,44,16,7,7,22,43,27
5339335,"Liberty Lake",Washington,2,1,1,0,1733,1115,592,26,2839,114094,1,1,2,0,4,86,6,0,2,16,35,47
5340245,Longview,Washington,2,2,0,0,1550,1370,97,83,13281,82751,1,1,2,0,5,78,10,3,9,28,46,17
5340805,Lynden,Washington,2,1,1,0,1826,880,924,22,2179,115285,2,1,1,0,2,80,8,6,6,21,39,34
5340840,Lynnwood,Washington,1,1,0,0,1607,1046,465,96,13118,125547,8,1,18,0,4,51,12,6,8,17,35,40
5343150,"Maple Valley",Washington,1,1,1,0,2542,1556,930,56,6180,175603,1,0,11,0,3,73,10,1,3,17,30,50
5343955,Marysville,Washington,2,1,0,0,1885,1279,530,76,18529,124375,2,1,7,0,4,69,12,5,6,26,45,23
5344165,Mattawa,Washington,2,2,0,0,1392,1339,36,17,9,75562,0,2,0,0,18,4,21,56,56,26,13,4
5344690,"Medical Lake",Washington,2,1,1,0,1962,1342,556,64,382,101459,4,0,0,0,3,84,2,6,1,20,42,36
5344725,Medina,Washington,1,1,0,0,3464,1921,1481,62,808,330344,0,0,27,0,0,61,10,1,0,2,10,88
5345005,"Mercer Island",Washington,1,1,0,0,2537,1463,994,80,8947,261761,1,0,22,0,1,65,9,1,1,4,13,82
5345865,"Mill Creek",Washington,1,1,0,0,1648,984,650,14,7930,171059,4,0,22,0,2,60,8,3,2,10,32,56
5346020,Milton,Washington,2,1,0,0,2146,1534,502,110,2638,122550,5,1,9,0,4,67,11,2,4,28,42,26
5346685,Monroe,Washington,2,1,0,0,1862,1255,556,51,3493,122771,2,1,5,0,5,71,10,5,7,19,45,30
5346895,Montesano,Washington,2,2,0,0,2182,1732,391,59,323,93586,0,0,1,0,3,88,8,0,1,25,46,29
5347245,"Moses Lake",Washington,2,1,0,0,1351,1204,107,40,5267,88715,4,1,1,0,11,53,15,15,10,28,41,20
5347490,"Mountlake Terrace",Washington,1,1,0,0,1515,1046,385,84,7942,134842,5,1,11,1,3,62,10,7,5,14,34,47
5347560,"Mount Vernon",Washington,2,1,1,0,1881,1043,780,58,8846,99894,1,3,3,0,10,56,8,18,13,22,38,27
5347665,Moxee,Washington,2,1,0,0,2052,1454,507,91,143,114371,3,1,0,0,11,59,13,12,12,28,37,23
5347735,Mukilteo,Washington,1,1,0,0,1664,1042,595,27,6900,165193,2,0,18,0,4,62,11,3,2,13,30,55
5348645,Newcastle,Washington,1,1,0,0,2436,1409,993,34,4396,251687,3,0,36,0,3,44,11,3,1,5,19,76
5349415,"Normandy Park",Washington,2,1,0,0,2630,1494,650,486,2400,160770,2,0,6,0,2,77,10,3,2,14,26,57
5349485,"North Bend",Washington,1,1,0,0,3154,2132,859,163,1595,215906,0,2,7,0,3,71,13,5,6,13,27,53
5350360,"Oak Harbor",Washington,2,1,0,0,1568,1064,438,66,7032,88401,6,2,8,0,7,60,13,3,4,22,50,24
5350570,"Ocean Shores",Washington,3,2,0,0,1840,1492,279,69,1205,72575,0,4,3,0,3,85,4,1,6,28,44,22
5350920,Okanogan,Washington,3,2,0,0,2296,1812,142,342,72,87065,2,2,0,0,5,72,14,5,8,28,46,18
5351300,Olympia,Washington,2,1,0,0,1670,1190,437,43,19335,105939,3,1,7,0,5,72,10,2,3,14,31,53
5351340,Omak,Washington,3,2,0,0,2411,1926,177,308,432,92675,0,7,0,0,2,76,11,3,8,27,44,21
5352005,Orting,Washington,2,1,1,0,2219,1468,715,36,1424,135934,1,3,3,0,5,78,9,1,5,32,41,21
5352215,Othello,Washington,2,1,0,0,1776,1334,404,38,1438,91876,0,2,1,0,28,22,24,23,27,26,30,17
5352495,Pacific,Washington,2,1,0,0,1931,1434,459,38,2168,114972,8,1,12,4,4,52,12,7,6,23,47,24
5353545,Pasco,Washington,2,1,0,0,1890,1471,404,15,18734,109307,2,2,2,0,18,38,16,21,18,23,35,25
5355365,"Port Angeles",Washington,2,2,0,0,1604,1320,147,137,6443,85839,0,2,2,0,4,81,9,3,3,21,43,33
5355785,"Port Orchard",Washington,2,1,0,0,1750,1117,533,100,4402,108163,2,1,5,1,3,72,15,1,4,19,48,30
5355855,"Port Townsend",Washington,2,2,0,0,2099,1448,422,229,2021,89631,1,1,2,0,1,86,6,3,0,12,36,52
5355995,Poulsbo,Washington,1,1,0,0,1865,1116,612,137,2770,131887,1,1,2,1,6,78,9,2,2,18,33,46
5356450,Prosser,Washington,2,1,0,0,1640,1405,211,24,823,98041,1,2,2,0,16,47,11,21,23,21,28,27
5356625,Pullman,Washington,2,1,0,0,1180,868,277,35,2954,70971,5,1,6,0,7,72,9,2,1,8,35,56
5356695,Puyallup,Washington,2,1,0,0,1854,1315,496,43,14804,118080,3,1,6,1,3,75,10,2,6,25,41,28
5357115,Quincy,Washington,1,1,0,0,1422,1289,102,31,1856,95308,0,0,2,0,16,22,15,46,15,40,25,21
5357430,Raymond,Washington,2,1,0,0,1646,1198,147,301,54,88788,0,5,2,1,0,72,10,11,6,38,31,25
5357535,Redmond,Washington,1,1,0,0,1692,1145,531,16,26082,211985,2,0,35,0,4,49,7,3,2,6,18,75
5357745,Renton,Washington,1,1,0,0,1860,1220,573,67,35901,135157,9,1,25,1,5,42,12,6,7,18,32,43
5358235,Richland,Washington,1,1,0,0,1853,1575,262,16,21619,124083,1,0,5,1,6,75,8,2,2,14,35,48
5358410,Ridgefield,Washington,1,1,0,0,1774,1251,487,36,1223,143671,1,1,2,0,4,83,7,2,2,17,39,43
5361115,Sammamish,Washington,1,1,0,0,2865,1579,1253,33,19194,289276,1,0,34,0,2,54,6,1,1,4,14,81
5362288,SeaTac,Washington,2,1,0,0,1906,1304,383,219,10294,110961,23,1,19,4,3,31,7,12,14,24,34,28
5363000,Seattle,Washington,1,0,0,0,1461,911,395,155,299098,185727,6,0,16,0,2,62,10,3,2,7,18,73
5363210,Sedro-Woolley,Washington,2,1,1,0,2021,1118,801,102,2459,92399,1,1,1,0,11,66,6,14,11,25,48,17
5363280,Selah,Washington,2,1,1,0,1835,1289,505,41,2209,97217,0,1,2,0,5,59,11,21,9,30,34,27
5363385,Sequim,Washington,2,2,0,0,2030,1751,211,68,3063,82224,2,1,4,0,2,82,7,2,2,17,45,36
5363735,Shelton,Washington,2,2,0,0,2243,1858,303,82,1921,90022,1,3,1,2,4,59,11,18,13,27,38,21
5363960,Shoreline,Washington,1,1,0,0,2018,1156,598,264,19122,163318,7,1,16,0,2,63,9,3,4,10,27,59
5365170,Snohomish,Washington,2,1,0,0,1864,1347,443,74,3230,122459,1,0,3,1,2,82,9,2,4,20,40,36
5365205,Snoqualmie,Washington,1,1,0,0,2544,1526,971,47,1916,235582,1,0,9,0,3,78,6,2,1,7,26,65
5367000,Spokane,Washington,2,1,1,0,1962,1173,713,76,79320,97078,2,1,3,1,2,79,9,2,4,19,40,36
5367167,"Spokane Valley",Washington,2,1,1,0,1648,1092,489,67,32503,91606,2,1,2,0,3,83,7,2,4,25,42,29
5367455,Stanwood,Washington,2,1,1,0,1919,1049,848,22,607,118765,0,3,2,0,1,87,6,0,2,21,47,30
5367770,Steilacoom,Washington,2,1,0,0,2115,1384,640,91,1427,130947,5,1,6,1,8,63,15,1,2,16,37,45
5368260,Sultan,Washington,2,1,1,0,2141,1405,648,88,699,111512,1,1,2,0,7,71,14,3,14,30,29,27
5368435,Sumner,Washington,2,1,0,0,1843,1321,469,53,4458,115708,1,1,2,1,7,74,11,3,5,26,42,27
5368750,Sunnyside,Washington,3,2,0,0,1949,1534,339,76,3401,71091,0,1,1,0,41,12,25,19,41,27,20,12
5370000,Tacoma,Washington,2,1,0,0,1801,1301,429,71,77488,113970,10,2,9,1,4,57,13,4,6,21,35,38
5371960,Toppenish,Washington,3,2,1,0,2057,1546,440,71,1161,81918,0,8,1,1,30,6,29,26,45,25,20,9
5372625,Tukwila,Washington,2,1,0,0,1962,1346,386,230,6414,113585,16,2,23,3,4,31,9,12,10,26,31,32
5372905,Tumwater,Washington,2,1,0,0,1795,1283,455,57,8111,111271,4,1,4,0,3,73,12,3,3,14,39,43
5373290,"Union Gap",Washington,3,2,1,0,2098,1447,552,99,1825,75020,0,6,3,0,16,42,14,20,23,29,39,9
5373465,"University Place",Washington,1,1,0,0,1534,1038,455,41,11890,123143,8,2,12,2,3,59,12,3,4,16,35,45
5374060,Vancouver,Washington,1,1,0,0,1482,1101,336,45,65500,109947,2,1,6,2,6,68,11,5,6,20,39,36
5375775,"Walla Walla",Washington,2,1,1,0,1818,1302,462,54,9023,91862,2,2,2,0,9,68,8,8,9,21,39,32
5376125,Wapato,Washington,3,2,0,0,1902,1569,225,108,490,71780,0,12,2,0,31,4,30,20,48,29,17,7
5376160,Warden,Washington,2,1,0,0,1325,1233,64,28,31,83610,0,0,2,0,11,38,11,39,21,27,34,19
5376405,Washougal,Washington,1,1,0,0,1780,1142,567,71,3451,139002,1,0,2,0,4,84,7,1,3,24,43,30
5377105,Wenatchee,Washington,1,1,0,0,763,675,59,29,9431,85886,1,1,1,0,4,57,11,25,14,21,36,29
5377665,"West Richland",Washington,1,1,0,0,1814,1563,220,31,4424,141073,1,0,2,1,3,76,14,4,4,16,34,46
5379590,Woodinville,Washington,1,1,0,0,2023,1304,698,21,5584,191566,1,0,18,0,6,65,6,4,1,9,27,63
5379625,Woodland,Washington,1,1,0,0,1719,1349,290,80,397,120570,1,0,1,0,10,74,11,3,9,27,42,22
5380010,Yakima,Washington,2,2,1,0,1831,1350,417,64,28009,81293,1,1,1,1,14,44,17,21,20,26,32,23
5380220,Yelm,Washington,2,1,0,0,2028,1514,438,76,1362,114618,4,1,1,3,1,75,14,3,5,31,45,19
5380500,Zillah,Washington,2,2,1,0,2289,1582,526,181,125,100655,0,3,0,0,16,43,32,6,14,23,40,24
